appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,estimated players,estimated active players,average total playtime,average recent playtime,release_date,days_from_release,languages_supports,review_num,positive_rate,cut_time,average_cut,duration,average_price,fix
968450,Hentai Puzzle Classic,EncoderX,EncoderX,,13,10,0,"0 .. 20,000",0,0,0,0,1.99,199,0,0,English,Indie,"{'Indie': 21, 'Nudity': 6, 'Puzzle': 5, 'Sexual Content': 5}",0.0,0.0,0h,0h,"Nov 9, 2018",1021,1,23,0.57,12,0.41,8,1.6,True
1359090,Zero Hour,"M7 Productions, Attrito","Attrito, M7 Productions",,8869,1931,0,"200,000 .. 500,000",270,167,159,226,11.99,1199,0,757,"English, French","Action, Simulation, Strategy, Early Access","{'Shooter': 202, 'Tactical': 197, 'Action': 196, 'FPS': 183, 'Realistic': 162, 'Online Co-Op': 156, 'Multiplayer': 149, 'First-Person': 148, 'PvP': 135, 'Military': 123, 'Team-Based': 113, 'Immersive Sim': 107, 'Strategy': 100, '3D': 99, 'Simulation': 97, 'Combat': 94, 'Stealth': 85, 'PvE': 79, 'Early Access': 77, 'Violent': 77}",547000.0,442000000.0,6h,2.2h,"Aug 12, 2020",382,2,10800,0.8212037037037037,9,0.26,9,10.37,True
542790,RacetronicVR,Charles Cochrane,Charles Cochrane,,2,3,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,Racing,"{'Racing': 21, 'VR': 7}",107000.0,3000000.0,1.5h,0.1h,"Nov 13, 2017",1382,1,5,0.4,0,0,0,0,True
350550,Area-X,Zeiva Inc,Zeiva Inc,,20,0,0,"0 .. 20,000",0,0,0,0,24.99,2499,0,0,English,"Adventure, Casual, Indie, Simulation","{'Visual Novel': 37, 'Indie': 34, 'Simulation': 34, 'Adventure': 34, 'Casual': 33, 'Anime': 26, 'Female Protagonist': 25, 'Otome': 21, 'Singleplayer': 14, 'Story Rich': 12, 'Romance': 12, 'Dark': 11, 'Choose Your Own Adventure': 11, 'Multiple Endings': 11, 'Fantasy': 11, 'Dating Sim': 11, 'Time Travel': 11, 'Supernatural': 11, 'Interactive Fiction': 11, 'Puzzle': 11}",7000.0,0.0,3.6h,0.1h,"Jun 24, 2015",2258,1,20,1.0,32,0.26,8,21.73,True
348980,INIT.,Narrow Monolith,Narrow Monolith,,3,13,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,English,"Action, Adventure, Casual, Indie, Strategy","{'Indie': 33, 'Action': 22, 'Casual': 22, 'Strategy': 21, 'Adventure': 21, 'Minimalist': 12, 'Puzzle-Platformer': 12, 'Mystery': 11, 'Action-Adventure': 10}",58000.0,7000000.0,5h,0.7h,"Aug 19, 2015",2199,1,16,0.19,6,0.54,8,4.04,True
857140,"Snake, snake, snake!",Growfall Games,Growfall Games,,20,7,0,"0 .. 20,000",0,0,0,0,0.99,199,50,0,English,"Action, Casual, Indie","{'Indie': 32, 'Casual': 32, 'Action': 22}",145000.0,4000000.0,0.1h,0h,"May 18, 2018",1196,1,27,0.74,28,0.58,9,1.42,True
960190,Maytroid. I swear it's a nice game too,PixelGreeds,PixelGreeds,,127,30,0,"20,000 .. 50,000",0,0,0,0,1.99,199,0,0,"English, Russian, Spanish - Spain, Portuguese","Action, Adventure, Indie","{'Metroidvania': 121, 'Action': 115, 'Nudity': 113, 'Anime': 108, 'Adventure': 103, 'Female Protagonist': 98, 'Sexual Content': 94, 'Indie': 76, '2D Platformer': 73, '2D': 69, 'Pixel Graphics': 66, 'Platformer': 61, 'Side Scroller': 59, 'Story Rich': 54, 'Controller': 51, 'Great Soundtrack': 47, 'Comedy': 45, 'Drama': 43, 'Singleplayer': 40, 'Action-Adventure': 38}",92000.0,32000000.0,1.8h,1.2h,"Dec 11, 2018",989,4,157,0.81,18,0.49,9,1.5,True
486640,Cheaters Blackjack 21,BlackOpzFX,BlackOpzFX Labs,,10,14,0,"0 .. 20,000",0,0,0,0,3.99,399,0,0,English,"Casual, Simulation, Strategy","{'Casual': 33, 'Simulation': 33, 'Strategy': 32, 'Card Game': 15}",232000.0,6000000.0,3.6h,0.2h,"Jun 7, 2016",1906,1,24,0.42,15,0.69,9,2.62,True
537060,MagixHome VR,SKYOPT,SKYOPT,,8,8,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,"Free to Play, Simulation, Early Access","{'Free to Play': 22, 'Simulation': 22, 'Early Access': 21, 'VR': 8}",176000.0,3000000.0,1.1h,0.1h,"Nov 3, 2016",1757,1,16,0.5,0,0,0,0,True
1329470,Christmas Patchwork Frozen,Creobit,8floor,,9,3,0,"0 .. 20,000",0,0,0,0,4.99,499,0,0,"English, French, German, Russian",Casual,"{'Casual': 32, 'Puzzle': 12, 'Indie': 11, 'Singleplayer': 11, 'Adventure': 10}",14000.0,1000000.0,1.3h,1.3h,"Aug 7, 2020",384,4,12,0.75,11,0.86,8,2.75,True
823650,Zombow,CasGames,CasGames,,14,37,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,English,"Adventure, Casual, Indie","{'Adventure': 21, 'Indie': 21, 'Casual': 21}",357000.0,3000000.0,5.1h,0.3h,"Mar 28, 2018",1247,1,51,0.27,17,0.53,10,0.85,True
345350,LIGHTNING RETURNS: FINAL FANTASY XIII,Square Enix,Square Enix,,2750,688,0,"200,000 .. 500,000",951,0,495,0,19.99,1999,0,48,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Traditional Chinese",RPG,"{'RPG': 219, 'JRPG': 187, 'Female Protagonist': 178, 'Fantasy': 162, 'Open World': 162, 'Great Soundtrack': 136, 'Singleplayer': 130, 'Story Rich': 113, 'Adventure': 104, 'Anime': 88, 'Action': 76, 'Action RPG': 62, 'Third Person': 56, 'Character Customization': 47, 'Hack and Slash': 41, 'Atmospheric': 34, 'Cute': 13, 'Nudity': 9}",1100000.0,65000000.0,20.4h,0.5h,"Dec 10, 2015",2086,8,3438,0.8,14,0.5,10,14.99,True
342090,The Clans - Saga of the Twins,Supreme Clans Entertainment,Supreme Clans Entertainment,,22,40,0,"20,000 .. 50,000",496,0,496,0,9.99,999,0,0,English,"Adventure, Indie, RPG","{'RPG': 24, 'Adventure': 22, 'Indie': 21, 'Anime': 18, 'Female Protagonist': 13, 'RPGMaker': 11}",476000.0,8000000.0,4h,0.1h,"Apr 21, 2015",2319,1,62,0.35,44,0.77,8,6.15,True
895570,Fairy Rescue,For Kids,For Kids,,3,3,0,"100,000 .. 200,000",0,0,0,0,2.99,299,0,0,English,"Casual, Indie","{'Indie': 21, 'Casual': 21}",0.0,0.0,0h,0h,"Aug 3, 2018",1122,1,6,0.5,29,0.82,8,1.77,True
447850,The Next Door,Labory,SA Industry,,389,359,0,"200,000 .. 500,000",212,532,212,532,0.49,99,51,1,English,"Adventure, Casual, Indie","{'Indie': 37, 'Casual': 27, 'Adventure': 26, 'Puzzle': 12, 'Walking Simulator': 11, 'First-Person': 5}",2100000.0,52000000.0,8.9h,0.1h,"Mar 22, 2016",1983,1,748,0.52,16,0.42,9,2.06,True
588340,Stolen Steel VR,Impromptu Games,Impromptu Games,,20,18,0,"0 .. 20,000",0,0,0,0,3.99,399,0,0,English,"Violent, Action, Casual, Indie, Simulation","{'Action': 22, 'Violent': 22, 'Indie': 21, 'Casual': 21, 'Simulation': 21, 'VR': 9}",13000.0,1000000.0,2.4h,0.2h,"Feb 22, 2017",1646,1,38,0.53,17,0.46,8,5.32,True
440770,Drawn Story,Vitaly Rekubratskiy,Vitaly Rekubratskiy,,5,10,0,"0 .. 20,000",0,0,0,0,4.99,499,0,0,English,"Adventure, Indie, Early Access","{'Adventure': 22, 'Indie': 22, 'Early Access': 22}",3000.0,0.0,0h,0h,"Feb 11, 2016",2023,1,15,0.33,1,0.2,6,4.66,True
451660,Trucker,Play Publishing,Play Publishing,,27,29,0,"0 .. 20,000",328,0,337,0,1.99,199,0,0,English,"Action, Racing, Simulation","{'Automobile Sim': 26, 'Simulation': 24, 'Racing': 24, 'Action': 23}",260000.0,11000000.0,3.5h,0.2h,"Oct 21, 2016",1770,1,56,0.48,9,0.67,9,1.32,True
592030,Just In Time Incorporated,Second Wind Interactive,Second Wind Interactive,,148,30,0,"20,000 .. 50,000",0,0,0,0,4.99,499,0,3,English,"Action, Indie, Simulation","{'Action': 36, 'Indie': 35, 'Simulation': 33, 'VR': 24, 'Bullet Time': 16, 'Time Manipulation': 15, 'Physics': 10}",47000.0,8000000.0,1.1h,0.1h,"Jul 27, 2017",1491,1,178,0.83,19,0.49,9,11.63,True
454180,CrazyCars3D,AneaGames,AneaGames,,138,67,0,"50,000 .. 100,000",265,0,272,0,2.99,299,0,0,"English, Russian","Action, Adventure, Casual, Indie, Racing, Simulation","{'Simulation': 65, 'Racing': 49, 'Action': 46, 'Indie': 46, 'Casual': 44, 'Adventure': 42, 'Automobile Sim': 25, 'Great Soundtrack': 13, 'Arcade': 13, 'Funny': 13, 'Early Access': 10}",553000.0,8000000.0,3.1h,0h,"Jun 14, 2016",1902,2,205,0.6731707317073171,24,0.5,9,2.26,True
518996,Kikoriki: Tourism,,,,198,14,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,,"{'Story Rich': 342, 'Action': 220, 'Cartoon': 169, 'Family Friendly': 135, 'Episodic': 127, 'Great Soundtrack': 125, 'Parkour': 123, 'Choices Matter': 106, 'Sci-fi': 103, 'Massively Multiplayer': 65, 'Adventure': 58, 'Comedy': 54, 'RPG': 47, 'Rogue-like': 45, 'Indie': 45, 'Cute': 45, 'Sandbox': 40, 'Simulation': 39, 'Masterpiece': 35, 'Free to Play': 34}",2000.0,0.0,0h,0h,"Sep 22, 2016",1802,1,212,0.9339622641509434,NA,NA,NA,NA,True
